epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.65769,0.69407,0.6962,1,0.54045,0.000547729,0.000547729,0.000547729
2,9.4099,0.57897,0.68987,1,0.65656,0.00109793,0.00109793,0.00109793
3,12.5693,0.53587,0.77848,1,0.45661,0.00164264,0.00164264,0.00164264
4,16.7784,0.5487,0.8481,1,0.36595,0.00164225,0.00164225,0.00164225
5,20.9657,0.59061,0.78481,1,0.72893,0.00163399,0.00163399,0.00163399
6,25.0235,0.53166,0.81646,1,0.43901,0.00162574,0.00162574,0.00162574
7,29.084,0.47532,0.77848,1,0.44766,0.00161749,0.00161749,0.00161749
8,33.2051,0.51222,0.6962,1,0.53824,0.00160924,0.00160924,0.00160924
9,36.9188,0.47775,0.72152,1,0.47176,0.00160099,0.00160099,0.00160099
10,40.3434,0.52927,0.65823,1,0.54777,0.00159274,0.00159274,0.00159274
11,43.671,0.5478,0.8038,1,0.36158,0.00158448,0.00158448,0.00158448
12,47.1046,0.47784,0.84177,1,0.35541,0.00157623,0.00157623,0.00157623
13,50.6152,0.51655,0.74051,1,0.62971,0.00156798,0.00156798,0.00156798
14,54.159,0.4395,0.82278,1,0.33651,0.00155973,0.00155973,0.00155973
15,57.7064,0.48885,0.82278,1,0.40763,0.00155148,0.00155148,0.00155148
16,61.2389,0.45468,0.82278,1,0.33875,0.00154323,0.00154323,0.00154323
17,64.8803,0.47845,0.81646,1,0.40509,0.00153497,0.00153497,0.00153497
18,68.428,0.43415,0.82911,1,0.37347,0.00152672,0.00152672,0.00152672
19,71.5954,0.40897,0.87342,1,0.30949,0.00151847,0.00151847,0.00151847
20,74.8368,0.47919,0.84177,1,0.33512,0.00151022,0.00151022,0.00151022
21,79.1029,0.45361,0.82911,1,0.35395,0.00150197,0.00150197,0.00150197
22,83.3013,0.45011,0.8481,1,0.34324,0.00149372,0.00149372,0.00149372
23,87.4112,0.42668,0.82278,1,0.3469,0.00148546,0.00148546,0.00148546
24,91.5512,0.35861,0.85443,1,0.28231,0.00147721,0.00147721,0.00147721
25,95.6055,0.44154,0.82278,1,0.36273,0.00146896,0.00146896,0.00146896
