epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.14955,0.66312,0.64323,1,0.65454,0.000549129,0.000549129,0.000549129
2,13.2,0.67684,0.66146,1,0.6487,0.00109933,0.00109933,0.00109933
3,18.6989,0.68467,0.48698,1,0.9666,0.00164402,0.00164402,0.00164402
4,23.3485,0.68304,0.66667,1,0.59212,0.00164225,0.00164225,0.00164225
5,27.9961,0.63996,0.63802,1,0.63716,0.00163399,0.00163399,0.00163399
6,32.6669,0.65258,0.66406,1,0.60959,0.00162574,0.00162574,0.00162574
7,37.2608,0.6304,0.65365,1,0.63572,0.00161749,0.00161749,0.00161749
8,41.8265,0.63495,0.64323,1,0.61492,0.00160924,0.00160924,0.00160924
9,46.2808,0.62809,0.70312,1,0.61072,0.00160099,0.00160099,0.00160099
10,50.8078,0.62375,0.66406,1,0.62657,0.00159274,0.00159274,0.00159274
11,56.2863,0.60984,0.65365,1,0.63159,0.00158448,0.00158448,0.00158448
12,61.6822,0.62247,0.63281,1,0.64928,0.00157623,0.00157623,0.00157623
13,67.0983,0.61019,0.64844,1,0.63689,0.00156798,0.00156798,0.00156798
14,72.4928,0.60845,0.66667,1,0.59338,0.00155973,0.00155973,0.00155973
15,77.7235,0.60295,0.65885,1,0.5991,0.00155148,0.00155148,0.00155148
16,82.3636,0.6089,0.65365,1,0.62645,0.00154323,0.00154323,0.00154323
17,86.9728,0.61014,0.69792,1,0.57116,0.00153497,0.00153497,0.00153497
18,91.5605,0.57306,0.6849,1,0.61941,0.00152672,0.00152672,0.00152672
19,96.4942,0.57985,0.67448,1,0.60361,0.00151847,0.00151847,0.00151847
20,101.046,0.57264,0.63021,1,0.70505,0.00151022,0.00151022,0.00151022
21,105.709,0.57777,0.6875,1,0.58369,0.00150197,0.00150197,0.00150197
22,110.165,0.59599,0.68229,1,0.60297,0.00149372,0.00149372,0.00149372
23,114.814,0.57901,0.68229,1,0.57882,0.00148546,0.00148546,0.00148546
24,119.463,0.57802,0.70312,1,0.57132,0.00147721,0.00147721,0.00147721
25,123.646,0.56566,0.70052,1,0.587,0.00146896,0.00146896,0.00146896
26,129.125,0.57665,0.71875,1,0.54179,0.00146071,0.00146071,0.00146071
27,134.645,0.56785,0.67708,1,0.63218,0.00145246,0.00145246,0.00145246
28,140.143,0.56076,0.69531,1,0.60844,0.00144421,0.00144421,0.00144421
29,145.413,0.57434,0.70312,1,0.583,0.00143595,0.00143595,0.00143595
30,150.42,0.56208,0.72135,1,0.59911,0.0014277,0.0014277,0.0014277
