"DateTime","Average","Sweet Water Foundation A","Sweet Water Foundation B","BurrRidge01 A","BurrRidge01 B","ODE A","ODE B"
"2026-07-10 11:00:00",90.1,19,22,52,58,24,23
"2026-07-10 12:00:00",,19,23,52,56,24,24
"2026-07-10 13:00:00",,20,24,49,56,27,28
"2026-07-10 14:00:00",,30,39,43,52,31,32
"2026-07-10 15:00:00",,31,41,43,53,33,33
"2026-07-10 16:00:00",,27,37,43,53,33,32
"2026-07-10 17:00:00",,35,44,33,41,33,33
"2026-07-10 18:00:00",,49,54,34,43,36,36
"2026-07-10 19:00:00",,51,54,42,53,40,40
"2026-07-10 20:00:00",,52,56,51,57,42,43
"2026-07-10 21:00:00",,53,56,54,60,44,45
"2026-07-10 22:00:00",,54,57,56,63,45,45
"2026-07-10 23:00:00",,54,57,57,65,45,46
"2026-07-11 00:00:00",,55,57,61,69,44,44
"2026-07-11 01:00:00",,55,57,56,64,43,44
"2026-07-11 02:00:00",,55,58,56,64,43,44
"2026-07-11 03:00:00",,57,59,59,67,45,47
"2026-07-11 04:00:00",,60,62,61,69,47,49
"2026-07-11 05:00:00",,61,64,63,73,49,52
"2026-07-11 06:00:00",,61,64,64,74,51,52
"2026-07-11 07:00:00",,57,61,64,74,49,51
"2026-07-11 08:00:00",,52,55,62,71,44,45
"2026-07-11 09:00:00",,43,52,57,66,41,43
"2026-07-11 10:00:00",,23,28,42,53,38,39
"2026-07-11 11:00:00",,12,18,29,42,33,33
"2026-07-11 12:00:00",,12,17,30,42,27,27
"2026-07-11 13:00:00",,14,18,35,45,26,26
"2026-07-11 14:00:00",,17,21,34,43,27,27
"2026-07-11 15:00:00",,26,31,29,37,31,31
"2026-07-11 16:00:00",,31,39,48,56,36,36
"2026-07-11 17:00:00",,27,33,51,57,39,39
"2026-07-11 18:00:00",,26,29,43,52,37,38
"2026-07-11 19:00:00",,32,39,52,57,37,37
"2026-07-11 20:00:00",,44,52,55,62,39,39
"2026-07-11 21:00:00",,54,56,55,63,43,43
"2026-07-11 22:00:00",,60,64,57,65,45,46
"2026-07-11 23:00:00",,65,68,60,67,51,51
"2026-07-12 00:00:00",,63,66,61,70,52,53
