"DateTime","Average","Sweet Water Foundation A","Sweet Water Foundation B"
"2026-07-10 11:00:00",92.8,19,22
"2026-07-10 12:00:00",,19,23
"2026-07-10 13:00:00",,20,24
"2026-07-10 14:00:00",,30,39
"2026-07-10 15:00:00",,31,41
"2026-07-10 16:00:00",,27,37
"2026-07-10 17:00:00",,35,44
"2026-07-10 18:00:00",,49,54
"2026-07-10 19:00:00",,51,54
"2026-07-10 20:00:00",,52,56
"2026-07-10 21:00:00",,53,56
"2026-07-10 22:00:00",,54,57
"2026-07-10 23:00:00",,54,57
"2026-07-11 00:00:00",,55,57
"2026-07-11 01:00:00",,55,57
"2026-07-11 02:00:00",,55,58
"2026-07-11 03:00:00",,57,59
"2026-07-11 04:00:00",,60,62
"2026-07-11 05:00:00",,61,64
"2026-07-11 06:00:00",,61,64
"2026-07-11 07:00:00",,57,61
"2026-07-11 08:00:00",,52,55
"2026-07-11 09:00:00",,43,52
"2026-07-11 10:00:00",,23,28
"2026-07-11 11:00:00",,12,18
"2026-07-11 12:00:00",,12,17
"2026-07-11 13:00:00",,14,18
"2026-07-11 14:00:00",,17,21
"2026-07-11 15:00:00",,26,31
"2026-07-11 16:00:00",,31,39
"2026-07-11 17:00:00",,27,33
"2026-07-11 18:00:00",,26,29
"2026-07-11 19:00:00",,32,39
"2026-07-11 20:00:00",,44,52
"2026-07-11 21:00:00",,54,56
"2026-07-11 22:00:00",,60,64
"2026-07-11 23:00:00",,65,68
"2026-07-12 00:00:00",,63,66
"2026-07-12 01:00:00",,64,66
"2026-07-12 02:00:00",,64,66
"2026-07-12 03:00:00",,64,66
"2026-07-12 04:00:00",,64,67
"2026-07-12 05:00:00",,64,68
"2026-07-12 06:00:00",,65,69
"2026-07-12 07:00:00",,66,71
"2026-07-12 08:00:00",,65,70
"2026-07-12 09:00:00",,63,68
"2026-07-12 10:00:00",,56,60
"2026-07-12 11:00:00",,56,61
"2026-07-12 12:00:00",,59,64
"2026-07-12 13:00:00",,59,63
"2026-07-12 14:00:00",,56,64
"2026-07-12 15:00:00",,58,64
"2026-07-12 16:00:00",,60,62
"2026-07-12 17:00:00",,56,63
"2026-07-12 18:00:00",,54,58
"2026-07-12 19:00:00",,56,60
"2026-07-12 20:00:00",,60,65
"2026-07-12 21:00:00",,63,67
"2026-07-12 22:00:00",,65,69
"2026-07-12 23:00:00",,65,70
"2026-07-13 00:00:00",,66,70
"2026-07-13 01:00:00",,68,72
"2026-07-13 02:00:00",,69,75
"2026-07-13 03:00:00",,72,77
"2026-07-13 04:00:00",,76,82
"2026-07-13 05:00:00",,80,87
"2026-07-13 06:00:00",,85,92
"2026-07-13 07:00:00",,88,94
"2026-07-13 08:00:00",,83,89
"2026-07-13 09:00:00",,85,90
"2026-07-13 10:00:00",,77,84
"2026-07-13 11:00:00",,68,75
"2026-07-13 12:00:00",,68,75
"2026-07-13 13:00:00",,62,68
"2026-07-13 14:00:00",,58,63
"2026-07-13 15:00:00",,58,64
"2026-07-13 16:00:00",,59,66
"2026-07-13 17:00:00",,59,64
"2026-07-13 18:00:00",,60,65
"2026-07-13 19:00:00",,63,69
"2026-07-13 20:00:00",,70,76
"2026-07-13 21:00:00",,81,87
"2026-07-13 22:00:00",,90,95
"2026-07-13 23:00:00",,93,98
"2026-07-14 00:00:00",,98,106
"2026-07-14 01:00:00",,96,102
"2026-07-14 02:00:00",,90,95
"2026-07-14 03:00:00",,83,89
"2026-07-14 04:00:00",,81,86
"2026-07-14 05:00:00",,80,87
"2026-07-14 06:00:00",,83,89
"2026-07-14 07:00:00",,83,89
"2026-07-14 08:00:00",,82,88
"2026-07-14 09:00:00",,72,79
"2026-07-14 10:00:00",,65,72
"2026-07-14 11:00:00",,60,66
"2026-07-14 12:00:00",,60,67
"2026-07-14 13:00:00",,61,69
"2026-07-14 14:00:00",,61,67
"2026-07-14 15:00:00",,67,74
"2026-07-14 16:00:00",,64,67
"2026-07-14 17:00:00",,59,64
"2026-07-14 18:00:00",,54,58
"2026-07-14 19:00:00",,58,62
"2026-07-14 20:00:00",,61,66
"2026-07-14 21:00:00",,63,69
